x,y,z,r
129.999992161,69.9999820894,9.37919388877e-05,0
130.000007586,70.0000173668,-9.43089617575e-05,0
129.999992668,69.9999831765,8.79451246324e-05,0
130.000007083,70.0000162814,-8.84761972224e-05,0
129.999993167,69.9999842602,8.21258895588e-05,0
130.000006587,70.0000151994,-8.26699797545e-05,0
129.99999366,69.9999853407,7.633218586e-05,0
130.000006098,70.0000141204,-7.68882936363e-05,0
129.999994146,69.9999864183,7.05620284223e-05,0
130.000005615,70.0000130442,-7.1129182919e-05,0
129.999994627,69.9999874932,6.48134890677e-05,0
130.000005137,70.0000119705,-6.53907458442e-05,0
129.999995102,69.9999885656,5.90846911463e-05,0
130.000004664,70.0000108992,-5.96711295972e-05,0
129.999995572,69.9999896359,5.33738044419e-05,0
130.000004196,70.0000098299,-5.39685253582e-05,0
129.999996038,69.9999907042,4.7679040361e-05,0
130.000003732,70.0000087625,-4.82811636208e-05,0
129.9999965,69.9999917708,4.19986473744e-05,0
130.000003272,70.0000076967,-4.26073097504e-05,0
129.999996959,69.9999928358,3.63309066861e-05,0
130.000002815,70.0000066324,-3.69452597583e-05,0
129.999997415,69.9999938995,3.06741281065e-05,0
130.00000236,70.0000055693,-3.12933362686e-05,0
129.999997868,69.9999949621,2.50266461092e-05,0
130.000001908,70.0000045072,-2.564988466e-05,0
129.999998319,69.9999960238,1.9386816053e-05,0
130.000001457,70.0000034459,-2.00132693655e-05,0
129.999998769,69.9999970847,1.37530105571e-05,0
130.000001008,70.0000023852,-1.43818703191e-05,0
129.999999218,69.9999981451,8.12361601619e-06,0
130.00000056,70.000001325,-8.75407953981e-06,0
129.999999666,69.9999992052,2.49702935237e-06,0
130,70,-1.72173827195e-06,0
